Date,Clôture,Plus bas,Plus haut,Ouv,Volume Titres,Volume FCFA,Variation %
21/11/2025,1.480,1.480,1.500,1.500,"3,42K","5,06M","-2,31%"
20/11/2025,1.515,1.515,1.530,1.530,"5,82K","8,82M","0,00%"
19/11/2025,1.515,1.515,1.515,1.515,"1,75K","2,65M","0,00%"
18/11/2025,1.515,1.515,1.530,1.530,"3,12K","4,73M","-0,98%"
17/11/2025,1.530,1.530,1.530,1.530,"2,68K","4,10M","0,00%"
14/11/2025,1.530,1.530,1.595,1.595,"3,01K","4,60M","-4,97%"
13/11/2025,1.610,1.610,1.690,1.690,"10,20K","16,42M","-3,01%"
12/11/2025,1.660,1.660,1.680,1.680,"14,71K","24,42M","6,07%"
11/11/2025,1.565,1.565,1.565,1.565,"30,11K","47,13M","7,19%"
10/11/2025,1.460,1.460,1.460,1.460,"14,23K","20,78M","-7,30%"
07/11/2025,1.575,1.575,1.575,1.575,"0,00K","0,00M","-7,35%"
06/11/2025,1.700,1.700,1.700,1.700,"1,52K","2,59M","-7,36%"
05/11/2025,1.835,1.835,1.845,1.845,"1,28K","2,35M","-7,32%"
