Date,Clôture,Plus bas,Plus haut,Ouv,Volume Titres,Volume FCFA,Variation %
21/11/2025,15.000,14.700,15.000,14.700,"2,31K","34,64M","2,04%"
20/11/2025,14.700,14.450,14.700,14.450,"1,64K","24,09M","1,38%"
19/11/2025,14.500,14.450,14.500,14.450,"20,70K","300,18M","0,35%"
18/11/2025,14.450,14.300,14.450,14.300,"3,65K","52,77M","0,00%"
17/11/2025,14.450,14.300,14.450,14.300,"0,54K","7,80M","1,05%"
14/11/2025,14.300,14.280,14.300,14.280,"0,84K","11,98M","0,14%"
13/11/2025,14.280,14.280,14.500,14.500,"1,00K","14,21M","-1,86%"
12/11/2025,14.550,14.550,14.600,14.600,"0,50K","7,32M","-0,34%"
11/11/2025,14.600,14.210,14.600,14.210,"10,24K","149,43M","2,78%"
10/11/2025,14.205,14.200,14.205,14.200,"27,47K","390,14M","0,35%"
07/11/2025,14.155,14.155,14.155,14.155,"0,00K","0,00M","-3,08%"
