"Date","Clôture","Plus bas","Plus haut","Ouv","Volume Titres","Volume FCFA","Variation %"
"21/11/2025","26,500","26,500","27,100","27,100","7,10K","188,04M","0,00%"
"20/11/2025","26,500","26,500","26,900","26,900","6,47K","171,40M","0,00%"
"19/11/2025","26,500","26,500","27,325","27,325","20,01K","530,32M","-2,57%"
"18/11/2025","27,200","27,200","27,300","27,300","2,95K","80,29M","-0,37%"
"17/11/2025","27,300","27,000","27,300","27,000","0,62K","16,98M","1,11%"
"14/11/2025","27,000","26,805","27,000","26,805","1,37K","36,99M","0,00%"
"13/11/2025","27,000","27,000","28,200","28,200","0,73K","19,74M","-1,10%"
"12/11/2025","27,300","26,900","27,300","26,900","20,94K","571,77M","1,49%"
"11/11/2025","26,900","26,855","26,900","26,855","1,51K","40,57M","-0,02%"
"10/11/2025","26,905","26,900","26,905","26,900","9,20K","247,42M","-0,33%"
"07/11/2025","26,995","26,995","26,995","26,995","0,00K","0,00K","0,15%"
"06/11/2025","26,955","26,955","27,000","27,000","0,67K","17,98M","0,02%"
"05/11/2025","26,950","26,950","27,050","27,050","0,94K","25,47M","-0,92%"
