"Date","Clôture","Plus bas","Plus haut","Ouv","Volume Titres","Volume FCFA","Variation %"
"21/11/2025","1,510","1,510","1,510","1,510","12,69K","19,17M","7,47%"
"20/11/2025","1,405","1,310","1,405","1,310","29,39K","41,29M","7,25%"
"19/11/2025","1,310","1,305","1,310","1,305","2,45K","3,21M","0,38%"
"18/11/2025","1,305","1,295","1,305","1,295","2,33K","3,04M","1,16%"
"17/11/2025","1,290","1,230","1,290","1,230","5,19K","6,70M","4,45%"
"14/11/2025","1,235","1,235","1,235","1,235","3,51K","4,34M","0,00%"
"13/11/2025","1,235","1,230","1,235","1,230","10,61K","13,11M","0,00%"
"12/11/2025","1,235","1,210","1,235","1,210","3,77K","4,66M","-0,40%"
"11/11/2025","1,240","1,230","1,240","1,230","2,85K","3,53M","0,81%"
"10/11/2025","1,230","1,180","1,230","1,180","6,96K","8,56M","5,13%"
"07/11/2025","1,170","1,170","1,170","1,170","0,00K","0,00K","7,34%"
"06/11/2025","1,090","1,070","1,090","1,070","4,77K","5,20M","-0,46%"
