"Date","Clôture","Plus bas","Plus haut","Ouv","Volume Titres","Volume FCFA","Variation %"
"21/11/2025","690","690","695","695","1,11K","0,76M","-0,72%"
"20/11/2025","695","695","700","700","0,68K","0,47M","-0,71%"
"19/11/2025","700","685","700","685","1,73K","1,21M","2,19%"
"18/11/2025","685","685","700","700","0,79K","0,54M","-2,14%"
"17/11/2025","700","695","700","695","1,84K","1,29M","0,72%"
"14/11/2025","695","695","700","700","3,78K","2,62M","1,46%"
"13/11/2025","685","685","700","700","22,94K","15,72M","-2,14%"
"12/11/2025","700","700","705","705","1,80K","1,26M","-0,71%"
"11/11/2025","705","700","705","700","0,52K","0,36M","0,71%"
"10/11/2025","700","700","715","715","5,08K","3,55M","0,72%"
"07/11/2025","695","695","695","695","0,00K","0,00M","0,00%"
"06/11/2025","695","695","700","700","2,81K","1,96M","2,21%"
