Date,Clôture,Plus bas,Plus haut,Ouv,Volume Titres,Volume FCFA,Variation %
21/11/2025,2.360,2.355,2.360,2.355,"2,60K","6,14M","-0,21%"
20/11/2025,2.365,2.365,2.370,2.370,"4,74K","11,21M","-0,21%"
19/11/2025,2.370,2.350,2.370,2.350,"2,53K","5,99M","0,85%"
18/11/2025,2.350,2.350,2.380,2.380,"0,37K","0,88M","-1,26%"
17/11/2025,2.380,2.360,2.380,2.360,"2,76K","6,57M","0,85%"
14/11/2025,2.360,2.350,2.360,2.350,"1,19K","2,81M","0,64%"
13/11/2025,2.345,2.345,2.350,2.350,"2,29K","5,38M","1,96%"
12/11/2025,2.300,2.250,2.300,2.250,"7,83K","18,00M","-1,08%"
11/11/2025,2.325,2.315,2.325,2.315,"11,54K","26,84M","-0,43%"
10/11/2025,2.335,2.335,2.335,2.335,"2,95K","6,88M","0,00%"
07/11/2025,2.335,2.335,2.335,2.335,"0,00K","0,00M","0,00%"
