"Date","Clôture","Plus bas","Plus haut","Ouverture","Volume Titres","Volume FCFA","Variation %"
"30/10/2025","1.995","1.910","1.995","1.910","4,91K","9,80M","4,45%"
"29/10/2025","1.910","1.895","1.910","1.895","7,02K","13,42M","1,06%"
"28/10/2025","1.890","1.890","1.895","1.895","0,99K","1,89M","-0,26%"
"27/10/2025","1.895","1.850","1.895","1.850","3,14K","5,94M","-0,26%"
"24/10/2025","1.900","1.825","1.900","1.825","2,48K","4,71M","4,40%"
"23/10/2025","1.820","1.800","1.820","1.800","2,29K","4,16M","5,51%"
"22/10/2025","1.725","1.725","1.800","1.800","3,35K","5,77M","-5,22%"
"21/10/2025","1.820","1.820","1.820","1.820","6,02K","10,95M","0,00%"
"20/10/2025","1.820","1.820","1.830","1.830","3,79K","6,89M","-4,46%"
"17/10/2025","1.905","1.905","1.905","1.905","2,92K","5,56M","-5,69%"
"16/10/2025","2.020","2.010","2.020","2.010","4,23K","8,55M","1,00%"
"15/10/2025","2.000","2.000","2.130","2.130","12,22K","24,44M","-5,66%"
"14/10/2025","2.120","2.000","2.120","2.000","12,70K","26,93M","6,00%"
"13/10/2025","2.000","1.990","2.000","1.990","20,74K","41,49M","0,76%"
"10/10/2025","1.985","1.950","1.985","1.950","12,75K","25,31M","1,79%"
"09/10/2025","1.950","1.890","1.950","1.890","2,63K","5,13M","3,17%"
"08/10/2025","1.890","1.890","1.890","1.890","2,00K","3,78M","2,72%"
"07/10/2025","1.840","1.840","1.900","1.900","2,04K","3,74M","-3,16%"
"06/10/2025","1.900","1.900","1.985","1.985","8,29K","15,75M","-1,81%"
"03/10/2025","1.935","1.900","1.935","1.900","2,03K","3,92M","7,50%"
