"Date","Clôture","Plus bas","Plus haut","Ouverture","Volume Titres","Volume FCFA","Variation %"
"30/10/2025","15.150","14.765","15.150","14.765","1,34K","20,26M","2,36%"
"29/10/2025","14.800","14.750","14.800","14.750","2,20K","32,59M","0,51%"
"28/10/2025","14.725","14.725","14.890","14.890","0,20K","2,96M","-1,11%"
"27/10/2025","14.890","14.200","14.890","14.200","0,89K","13,21M","5,60%"
"24/10/2025","14.100","14.100","14.175","14.175","11,99K","169,00M","-0,53%"
"23/10/2025","14.175","14.000","14.175","14.000","0,34K","4,75M","1,25%"
"22/10/2025","14.000","14.000","14.000","14.000","0,50K","7,04M","0,00%"
"21/10/2025","14.000","14.000","14.000","14.000","1,60K","22,41M","0,00%"
"20/10/2025","14.000","13.750","14.000","13.750","2,28K","31,91M","1,38%"
"17/10/2025","13.810","13.750","13.810","13.750","0,85K","11,68M","0,44%"
"16/10/2025","13.750","13.750","14.300","14.300","2,49K","34,20M","-3,85%"
"15/10/2025","14.300","13.500","14.300","13.500","8,84K","126,38M","5,93%"
"14/10/2025","13.500","13.500","13.600","13.600","0,96K","13,00M","1,89%"
"13/10/2025","13.250","13.200","13.250","13.200","0,57K","7,54M","0,38%"
"10/10/2025","13.200","13.200","13.200","13.200","0,75K","9,90M","0,38%"
"09/10/2025","13.150","13.100","13.150","13.100","1,19K","15,60M","0,54%"
"08/10/2025","13.080","13.080","13.100","13.100","0,34K","4,45M","0,62%"
"07/10/2025","13.000","12.505","13.000","12.505","0,96K","12,52M","3,96%"
"06/10/2025","12.505","12.505","12.710","12.710","6,16K","77,08M","-1,61%"
"03/10/2025","12.710","12.710","13.200","13.200","0,72K","9,20M","-2,23%"
