"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/08/2025","11.980","11.990","11.990","11.980","0,44K","-0,08%"
"28/08/2025","11.990","11.905","11.990","11.905","1,37K","0,71%"
"27/08/2025","11.905","11.905","11.905","11.905","0,88K","0,00%"
"26/08/2025","11.905","11.705","11.905","11.705","0,59K","1,71%"
"25/08/2025","11.705","11.990","11.990","11.705","0,96K","-2,38%"
"22/08/2025","11.990","11.990","11.990","11.990","1,08K","0,00%"
"21/08/2025","11.990","11.990","11.990","11.990","0,42K","0,00%"
"20/08/2025","11.990","11.850","11.990","11.850","0,59K","1,18%"
"19/08/2025","11.850","11.900","11.900","11.850","1,86K","-0,42%"
"18/08/2025","11.900","11.700","11.900","11.700","0,50K","1,71%"
"14/08/2025","11.700","11.300","11.700","11.300","1,80K","3,54%"
"13/08/2025","11.300","11.295","11.300","11.295","0,19K","0,04%"
"12/08/2025","11.295","11.295","11.295","11.295","1,82K","0,00%"
"11/08/2025","11.295","11.200","11.295","11.200","1,85K","0,85%"
"08/08/2025","11.200","11.250","11.250","11.200","1,90K","-0,44%"
"06/08/2025","11.250","11.400","11.400","11.250","0,48K","-1,32%"
"05/08/2025","11.400","11.400","11.400","11.400","0,28K","0,00%"
"04/08/2025","11.400","11.590","11.590","11.400","0,36K","-1,64%"
"01/08/2025","11.590","11.600","11.600","11.590","0,29K","-0,09%"
