"Date","Clôture","Plus bas","Plus haut","Ouverture","Volume Titres","Volume FCFA","Variation %"
"30/10/2025","15.250","15.250","15.495","15.495","0,55K","8,37M","5,50%"
"29/10/2025","14.455","13.500","14.455","13.500","0,81K","11,71M","7,47%"
"28/10/2025","13.450","13.395","13.450","13.395","1,36K","18,22M","0,41%"
"27/10/2025","13.395","13.395","13.400","13.400","1,75K","23,43M","0,04%"
"24/10/2025","13.390","13.390","13.450","13.450","0,25K","3,36M","-0,45%"
"23/10/2025","13.450","13.300","13.450","13.300","0,57K","7,64M","0,37%"
"22/10/2025","13.400","13.400","13.500","13.500","1,04K","13,99M","2,29%"
"21/10/2025","13.100","13.100","13.400","13.400","0,73K","9,55M","-2,24%"
"20/10/2025","13.400","13.400","13.400","13.400","1,13K","15,17M","0,00%"
"17/10/2025","13.400","13.200","13.400","13.200","1,40K","18,80M","1,67%"
"16/10/2025","13.180","13.180","13.280","13.280","1,08K","14,23M","-0,15%"
"15/10/2025","13.200","13.200","13.245","13.245","0,53K","7,00M","-0,34%"
"14/10/2025","13.245","13.100","13.245","13.100","0,46K","6,05M","0,91%"
"13/10/2025","13.125","13.005","13.125","13.005","0,80K","10,45M","0,00%"
"10/10/2025","13.125","13.125","13.135","13.135","0,51K","6,73M","-0,08%"
"09/10/2025","13.135","13.050","13.135","13.050","1,17K","15,41M","0,00%"
"08/10/2025","13.135","13.135","13.135","13.135","0,17K","2,26M","0,00%"
"07/10/2025","13.135","13.130","13.135","13.130","2,18K","28,66M","0,27%"
"06/10/2025","13.100","13.055","13.100","13.055","0,42K","5,50M","0,38%"
"03/10/2025","13.050","13.000","13.050","13.000","0,53K","6,92M","0,38%"
