"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"17/10/2025","13.400","13.200","13.400","13.200","1,40K","1,67%"
"16/10/2025","13.180","13.280","13.280","13.180","1,08K","-0,15%"
"15/10/2025","13.200","13.245","13.245","13.200","0,53K","-0,34%"
"14/10/2025","13.245","13.100","13.245","13.100","0,46K","0,91%"
"13/10/2025","13.125","13.005","13.125","13.005","0,80K","0,00%"
"10/10/2025","13.125","13.135","13.135","13.125","0,51K","-0,08%"
"09/10/2025","13.135","13.050","13.135","13.050","1,17K","0,00%"
"08/10/2025","13.135","13.135","13.135","13.135","0,17K","0,00%"
"07/10/2025","13.135","13.130","13.135","13.130","2,18K","0,27%"
"06/10/2025","13.100","13.055","13.100","13.055","0,42K","0,38%"
"03/10/2025","13.050","13.000","13.050","13.000","0,53K","0,38%"
