Date,Clôture,Plus bas,Plus haut,Ouv,Volume Titres,Volume FCFA,Variation %
14/11/2025,12.000,11.050,12.000,11.050,"2,10K","25,24M","4,35%"
13/11/2025,11.500,11.100,11.500,11.100,"0,43K","4,98M","3,60%"
12/11/2025,11.100,11.000,11.100,11.000,"1,10K","12,17M","1,37%"
11/11/2025,10.950,10.950,11.000,11.000,"2,10K","22,94M","-0,45%"
10/11/2025,11.000,10.250,11.000,10.250,"3,37K","37,10M","7,32%"
07/11/2025,10.250,10.250,10.250,10.250,"0,00K","0,00M","-0,87%"
06/11/2025,10.340,10.340,10.340,10.340,"1,11K","11,46M","-7,47%"
05/11/2025,11.175,11.175,11.175,11.175,"0,86K","9,59M","-7,49%"
04/11/2025,12.080,12.080,12.500,12.500,"0,52K","6,31M","-7,47%"
03/11/2025,13.055,13.055,13.060,13.060,"1,20K","15,63M","-7,48%"
