"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"17/10/2025","14.400","14.350","14.400","14.350","1,01K","0,00%"
"16/10/2025","14.400","14.500","14.500","14.400","1,35K","-0,69%"
"15/10/2025","14.500","14.500","14.500","14.500","1,84K","1,33%"
"14/10/2025","14.310","14.550","14.550","14.310","1,86K","-1,38%"
"13/10/2025","14.510","14.700","14.700","14.510","0,83K","-0,27%"
"10/10/2025","14.550","14.255","14.550","14.255","0,40K","-1,02%"
"09/10/2025","14.700","14.600","14.700","14.600","7,09K","0,00%"
"08/10/2025","14.700","14.700","14.700","14.700","0,90K","0,00%"
"07/10/2025","14.700","14.900","14.900","14.700","1,21K","-1,97%"
"06/10/2025","14.995","14.300","14.995","14.300","1,70K","4,82%"
"03/10/2025","14.305","14.800","14.800","14.305","0,66K","-3,34%"
