"Date","Clôture","Plus bas","Plus haut","Ouv","Volume Titres","Volume FCFA","Variation %"
"14/11/2025","14.300","14.280","14.300","14.280","0,84K","11,98M","0,14%"
"13/11/2025","14.280","14.280","14.500","14.500","0,99K","14,21M","-1,86%"
"12/11/2025","14.550","14.550","14.600","14.600","0,50K","7,32M","-0,34%"
"11/11/2025","14.600","14.210","14.600","14.210","10,24K","149,43M","2,78%"
"10/11/2025","14.205","14.200","14.205","14.200","27,47K","390,14M","0,35%"
"07/11/2025","14.155","14.155","14.155","14.155","0,00K","0,00M","-3,08%"
"06/11/2025","14.605","14.200","14.605","14.200","2,23K","32,55M","2,85%"
"05/11/2025","14.200","14.200","14.400","14.400","2,78K","39,45M","-1,39%"
"04/11/2025","14.400","14.400","14.400","14.400","3,23K","46,47M","-0,03%"
"03/11/2025","14.405","14.400","14.405","14.400","0,89K","12,76M","-0,52%"
