"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/08/2025","26.000","25.500","26.000","25.500","1,00K","1,96%"
"28/08/2025","25.500","25.555","25.555","25.500","0,84K","-0,22%"
"27/08/2025","25.555","26.000","26.000","25.555","1,98K","-1,71%"
"26/08/2025","26.000","26.000","26.000","26.000","0,82K","0,00%"
"25/08/2025","26.000","26.000","26.000","26.000","1,36K","0,00%"
"22/08/2025","26.000","25.990","26.000","25.990","0,45K","0,04%"
"21/08/2025","25.990","26.000","26.000","25.990","0,24K","-0,04%"
"20/08/2025","26.000","25.550","26.000","25.550","0,40K","1,76%"
"19/08/2025","25.550","25.500","25.550","25.500","1,95K","0,20%"
"18/08/2025","25.500","25.000","25.500","25.000","1,20K","2,00%"
"14/08/2025","25.000","25.515","25.515","25.000","0,37K","-2,02%"
"13/08/2025","25.515","25.500","25.515","25.500","1,08K","0,06%"
"12/08/2025","25.500","25.490","25.500","25.490","2,55K","0,04%"
"11/08/2025","25.490","24.500","25.490","24.500","0,44K","4,04%"
"08/08/2025","24.500","25.445","25.445","24.500","25,48K","-3,71%"
"06/08/2025","25.445","25.500","25.500","25.445","0,54K","-0,22%"
"05/08/2025","25.500","24.500","25.500","24.500","4,09K","4,08%"
"04/08/2025","24.500","25.000","25.000","24.500","0,82K","-2,00%"
"01/08/2025","25.000","25.000","25.000","25.000","0,36K","0,00%"
