"Date","Clôture","Plus bas","Plus haut","Ouverture","Volume Titres","Volume FCFA","Variation %"
"30/10/2025","1.200","1.200","1.200","1.200","6,63K","7,96M","0,84%"
"29/10/2025","1.190","1.190","1.190","1.190","1,93K","2,29M","0,00%"
"28/10/2025","1.190","1.185","1.190","1.185","3,62K","4,31M","0,42%"
"27/10/2025","1.185","1.185","1.190","1.190","8,87K","10,51M","-0,42%"
"24/10/2025","1.190","1.190","1.230","1.230","4,46K","5,31M","-4,80%"
"23/10/2025","1.250","1.250","1.250","1.250","5,26K","6,58M","-0,79%"
"22/10/2025","1.260","1.260","1.260","1.260","1,69K","2,12M","0,80%"
"21/10/2025","1.250","1.245","1.250","1.245","2,51K","3,14M","1,63%"
"20/10/2025","1.230","1.230","1.295","1.295","3,89K","4,78M","-7,52%"
"17/10/2025","1.330","1.330","1.375","1.375","40,89K","54,39M","-3,62%"
"16/10/2025","1.380","1.380","1.395","1.395","2,80K","3,86M","0,36%"
"15/10/2025","1.375","1.375","1.380","1.380","4,15K","5,71M","7,00%"
"14/10/2025","1.285","1.285","1.300","1.300","6,53K","8,39M","-1,15%"
"13/10/2025","1.300","1.285","1.300","1.285","3,19K","4,14M","1,17%"
"10/10/2025","1.285","1.285","1.290","1.290","2,66K","3,42M","-0,39%"
"09/10/2025","1.290","1.280","1.290","1.280","6,94K","8,95M","1,18%"
"08/10/2025","1.275","1.275","1.295","1.295","1,75K","2,23M","-0,39%"
"07/10/2025","1.280","1.250","1.280","1.250","17,47K","22,36M","0,39%"
"06/10/2025","1.275","1.245","1.275","1.245","4,06K","5,18M","2,41%"
"03/10/2025","1.245","1.245","1.250","1.250","3,09K","3,84M","0,00%"
