"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/08/2025","1.150","1.150","1.150","1.150","15,02K","0,00%"
"28/08/2025","1.150","1.150","1.150","1.150","2,49K","0,00%"
"27/08/2025","1.150","1.150","1.150","1.150","4,54K","0,00%"
"26/08/2025","1.150","1.150","1.150","1.150","8,05K","0,00%"
"25/08/2025","1.150","1.175","1.175","1.150","5,36K","-2,13%"
"22/08/2025","1.175","1.150","1.175","1.150","1,39K","2,17%"
"21/08/2025","1.150","1.155","1.155","1.150","4,01K","-0,43%"
"20/08/2025","1.155","1.155","1.155","1.155","1,26K","0,00%"
"19/08/2025","1.155","1.185","1.185","1.155","5,68K","-2,53%"
"18/08/2025","1.185","1.190","1.190","1.185","7,47K","-0,42%"
"14/08/2025","1.190","1.200","1.200","1.190","5,31K","-0,83%"
"13/08/2025","1.200","1.135","1.200","1.135","8,00K","5,73%"
"12/08/2025","1.135","1.135","1.135","1.135","10,34K","0,00%"
"11/08/2025","1.135","1.135","1.135","1.135","12,96K","0,00%"
"08/08/2025","1.135","1.080","1.135","1.080","11,78K","5,09%"
"06/08/2025","1.080","1.045","1.080","1.045","2,81K","3,35%"
"05/08/2025","1.045","1.045","1.045","1.045","11,68K","0,00%"
"04/08/2025","1.045","1.035","1.045","1.035","6,18K","0,97%"
"01/08/2025","1.035","1.035","1.035","1.035","4,27K","0,00%"
