"Date","Clôture","Plus bas","Plus haut","Ouv","Volume Titres","Volume FCFA","Variation %"
"14/11/2025","1.235","1.235","1.235","1.235","3.51K","4.34M","0,00%"
"13/11/2025","1.235","1.230","1.235","1.230","10.61K","13.11M","0,00%"
"12/11/2025","1.235","1.210","1.235","1.210","3.78K","4.66M","-0,40%"
"11/11/2025","1.240","1.230","1.240","1.230","2.85K","3.53M","0,81%"
"10/11/2025","1.230","1.180","1.230","1.180","6.96K","8.56M","5,13%"
"07/11/2025","1.170","1.170","1.170","1.170","0,00K","0,00M","7,34%"
"06/11/2025","1.090","1.070","1.090","1.070","4.77K","5.20M","-0,46%"
"05/11/2025","1.095","1.095","1.095","1.095","7.36K","8.06M","-7,20%"
"04/11/2025","1.180","1.180","1.180","1.180","9.42K","11.12M","-0,84%"
"03/11/2025","1.190","1.190","1.200","1.200","7.48K","8.90M","-0,83%"
