"Date","Clôture","Plus bas","Plus haut","Ouverture","Volume Titres","Volume FCFA","Variation %"
"30/10/2025","5.595","5.595","6.000","6.000","9,16K","51,23M","-3,53%"
"29/10/2025","5.800","5.750","5.800","5.750","3,86K","22,41M","0,87%"
"28/10/2025","5.750","5.735","5.750","5.735","9,66K","55,52M","0,26%"
"27/10/2025","5.735","5.700","5.735","5.700","2,41K","13,82M","1,50%"
"24/10/2025","5.650","5.600","5.650","5.600","26,34K","148,83M","0,89%"
"23/10/2025","5.600","5.600","5.600","5.600","14,50K","81,21M","0,00%"
"22/10/2025","5.600","5.600","5.700","5.700","10,61K","59,39M","0,90%"
"21/10/2025","5.550","5.550","5.700","5.700","4,77K","26,48M","-2,63%"
"20/10/2025","5.700","5.600","5.700","5.600","6,00K","34,19M","1,79%"
"17/10/2025","5.600","5.600","5.600","5.600","13,11K","73,39M","-0,09%"
"16/10/2025","5.605","5.605","5.700","5.700","11,81K","66,18M","-1,67%"
"15/10/2025","5.700","5.700","5.750","5.750","21,99K","125,37M","1,79%"
"14/10/2025","5.600","5.600","5.700","5.700","8,84K","49,52M","-2,61%"
"13/10/2025","5.750","5.650","5.750","5.650","7,31K","42,03M","1,77%"
"10/10/2025","5.650","5.600","5.650","5.600","15,09K","85,26M","-0,53%"
"09/10/2025","5.680","5.600","5.680","5.600","13,46K","76,44M","1,52%"
"08/10/2025","5.595","5.500","5.595","5.500","37,85K","211,76M","1,73%"
"07/10/2025","5.500","5.500","5.500","5.500","10,28K","56,55M","0,00%"
"06/10/2025","5.500","5.500","5.515","5.515","19,32K","106,24M","0,82%"
"03/10/2025","5.455","5.455","5.500","5.500","6,55K","35,72M","0,09%"
