"Date","Clôture","Plus bas","Plus haut","Ouv","Volume Titres","Volume FCFA","Variation %"
"14/11/2025","5.620","5.620","5.650","5.650","4,10K","23,06M","-0,53%"
"13/11/2025","5.650","5.650","5.700","5.700","13,04K","73,70M","0,00%"
"12/11/2025","5.650","5.620","5.650","5.620","10,32K","58,32M","0,18%"
"11/11/2025","5.640","5.600","5.640","5.600","6,88K","38,77M","0,71%"
"10/11/2025","5.600","5.600","5.640","5.640","6,12K","34,29M","-0,71%"
"07/11/2025","5.640","5.640","5.640","5.640","0,00K","0,00M","0,71%"
"06/11/2025","5.600","5.550","5.600","5.550","10,06K","56,32M","0,90%"
"05/11/2025","5.550","5.550","5.650","5.650","14,34K","79,59M","-1,77%"
"04/11/2025","5.650","5.600","5.650","5.600","12,10K","68,36M","0,36%"
"03/11/2025","5.630","5.550","5.630","5.550","4,07K","22,89M","-1,92%"
