"Date","Clôture","Plus bas","Plus haut","Ouverture","Volume Titres","Volume FCFA","Variation %"
"30/10/2025","26.200","26.200","26.350","26.350","2,50K","65,55M","-0,57%"
"29/10/2025","26.350","26.350","26.500","26.500","10,88K","286,77M","-0,57%"
"28/10/2025","26.500","26.500","26.500","26.500","7,91K","209,59M","0,00%"
"27/10/2025","26.500","26.500","26.600","26.600","4,05K","107,38M","-0,75%"
"24/10/2025","26.700","26.695","26.700","26.695","5,89K","157,13M","0,02%"
"23/10/2025","26.695","26.500","26.695","26.500","8,59K","229,26M","0,77%"
"22/10/2025","26.490","26.300","26.490","26.300","7,95K","210,60M","1,11%"
"21/10/2025","26.200","26.150","26.200","26.150","21,76K","570,09M","-0,57%"
"20/10/2025","26.350","26.300","26.350","26.300","5,74K","151,30M","1,35%"
"17/10/2025","26.000","26.000","26.200","26.200","3,18K","82,78M","0,00%"
"16/10/2025","26.000","26.000","26.300","26.300","8,21K","213,43M","-1,89%"
"15/10/2025","26.500","25.990","26.500","25.990","23,71K","628,26M","2,12%"
"14/10/2025","25.950","25.950","26.000","26.000","3,98K","103,23M","0,00%"
"13/10/2025","25.950","25.950","26.000","26.000","14,82K","384,60M","-0,19%"
"10/10/2025","26.000","25.995","26.000","25.995","2,90K","75,40M","0,00%"
"09/10/2025","26.000","26.000","26.100","26.100","8,53K","221,75M","-0,38%"
"08/10/2025","26.100","26.000","26.100","26.000","50,56K","1319,72M",""
"07/10/2025","26.000","25.900","26.000","25.900","7,57K","196,87M","0,00%"
"06/10/2025","26.000","25.895","26.000","25.895","11,44K","297,31M","0,41%"
"03/10/2025","25.895","25.890","25.895","25.890","1,66K","43,09M","0,00%"
