"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"17/10/2025","26.000","26.200","26.200","26.000","3,18K","0,00%"
"16/10/2025","26.000","26.300","26.300","26.000","8,21K","-1,89%"
"15/10/2025","26.500","25.990","26.500","25.990","23,71K","2,12%"
"14/10/2025","25.950","26.000","26.000","25.950","3,98K","0,00%"
"13/10/2025","25.950","26.000","26.000","25.950","14,82K","-0,19%"
"10/10/2025","26.000","25.995","26.000","25.995","2,90K","0,00%"
"09/10/2025","26.000","26.100","26.100","26.000","8,53K","-0,38%"
"08/10/2025","26.100","26.000","26.100","26.000","50,56K","0,38%"
"07/10/2025","26.000","25.900","26.000","25.900","7,57K","0,00%"
"06/10/2025","26.000","25.895","26.000","25.895","11,44K","0,41%"
"03/10/2025","25.895","25.890","25.895","25.890","1,66K","0,00%"
