"Date","Clôture","Plus bas","Plus haut","Ouv","Volume Titres","Volume FCFA","Variation %"
"14/11/2025","25.500","25.500","25.600","25.600","21,84K","556,97M","-1,92%"
"13/11/2025","26.000","25.500","26.000","25.500","2,78K","72,25M","2,14%"
"12/11/2025","25.455","25.455","25.900","25.900","10,31K","262,47M","-0,57%"
"11/11/2025","25.600","25.600","25.900","25.900","54,75K","1401,55M","-1,16%"
"10/11/2025","25.900","25.900","25.990","25.990","7,04K","182,34M","-0,38%"
"07/11/2025","26.000","26.000","26.000","26.000","0,00K","0,00M","0,04%"
"06/11/2025","25.990","25.990","26.000","26.000","2,60K","67,52M","-0,04%"
"05/11/2025","26.000","26.000","26.100","26.100","2,58K","67,05M","-0,38%"
"04/11/2025","26.100","26.095","26.100","26.095","43,26K","1129,01M","0,00%"
"03/11/2025","26.100","26.100","26.105","26.105","33,12K","864,30M","-0,02%"
