"Date","Clôture","Plus bas","Plus haut","Ouverture","Volume Titres","Volume FCFA","Variation %"
"30/10/2025","2.350","2.350","2.350","2.350","7,44K","17,48M","-0,21%"
"29/10/2025","2.355","2.350","2.355","2.350","8,07K","19,00M","0,21%"
"28/10/2025","2.350","2.350","2.390","2.390","11,08K","26,05M","-1,67%"
"27/10/2025","2.390","2.390","2.390","2.390","5,47K","13,07M","0,00%"
"24/10/2025","2.390","2.350","2.390","2.350","2,85K","6,80M","1,92%"
"23/10/2025","2.345","2.345","2.400","2.400","8,72K","20,44M","-0,21%"
"22/10/2025","2.350","2.350","2.400","2.400","5,13K","12,05M","-2,08%"
"21/10/2025","2.400","2.300","2.400","2.300","11,08K","26,58M","4,35%"
"20/10/2025","2.300","2.100","2.300","2.100","15,88K","36,53M","1,32%"
"17/10/2025","2.270","2.270","2.270","2.270","17,62K","40,01M","-7,35%"
"16/10/2025","2.450","2.445","2.450","2.445","26,36K","64,57M","0,20%"
"15/10/2025","2.445","2.395","2.445","2.395","52,10K","127,37M","5,16%"
"14/10/2025","2.325","2.325","2.500","2.500","119,26K","277,28M","-7,00%"
"13/10/2025","2.500","2.485","2.500","2.485","4,40K","11,01M","0,40%"
"10/10/2025","2.490","2.490","2.490","2.490","2,00K","4,98M","0,00%"
"09/10/2025","2.490","2.480","2.490","2.480","4,33K","10,77M","0,40%"
"08/10/2025","2.480","2.480","2.500","2.500","1,33K","3,31M","1,22%"
"07/10/2025","2.450","2.450","2.500","2.500","14,05K","34,43M","-2,00%"
"06/10/2025","2.500","2.445","2.500","2.445","21,65K","54,13M","2,25%"
"03/10/2025","2.445","2.390","2.445","2.390","6,72K","16,42M","0,82%"
