"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/08/2025","2.540","2.540","2.540","2.540","2,69K","0,00%"
"28/08/2025","2.540","2.540","2.540","2.540","2,26K","0,00%"
"27/08/2025","2.540","2.580","2.580","2.540","27,59K","-1,55%"
"26/08/2025","2.580","2.455","2.580","2.455","6,92K","5,09%"
"25/08/2025","2.455","2.580","2.580","2.455","69,83K","-4,84%"
"22/08/2025","2.580","2.575","2.580","2.575","24,72K","0,19%"
"21/08/2025","2.575","2.590","2.590","2.575","48,34K","-0,58%"
"20/08/2025","2.590","2.600","2.600","2.590","10,92K","-0,38%"
"19/08/2025","2.600","2.595","2.600","2.595","26,55K","0,19%"
"18/08/2025","2.595","2.550","2.595","2.550","2,73K","1,76%"
"14/08/2025","2.550","2.520","2.550","2.520","0,92K","1,19%"
"13/08/2025","2.520","2.500","2.520","2.500","0,45K","0,80%"
"12/08/2025","2.500","2.425","2.500","2.425","1,02K","3,09%"
"11/08/2025","2.425","2.595","2.595","2.425","49,60K","-6,55%"
"08/08/2025","2.595","2.595","2.595","2.595","2,34K","0,00%"
"06/08/2025","2.595","2.595","2.595","2.595","0,50K","0,00%"
"05/08/2025","2.595","2.570","2.595","2.570","1,78K","0,97%"
"04/08/2025","2.570","2.600","2.600","2.570","1,19K","-1,15%"
"01/08/2025","2.600","2.525","2.600","2.525","2,37K","2,97%"
