"Date","Clôture","Plus bas","Plus haut","Ouv","Volume Titres","Volume FCFA","Variation %"
"14/11/2025","2.360","2.350","2.360","2.350","1,19K","2,81M","0,64%"
"13/11/2025","2.345","2.345","2.350","2.350","2,29K","5,38M","1,96%"
"12/11/2025","2.300","2.250","2.300","2.250","7,83K","18,00M","-1,08%"
"11/11/2025","2.325","2.315","2.325","2.315","11,54K","26,84M","-0,43%"
"10/11/2025","2.335","2.335","2.335","2.335","2,95K","6,88M","0,00%"
"07/11/2025","2.335","2.335","2.335","2.335","0,00K","0,00M","0,00%"
"06/11/2025","2.335","2.320","2.335","2.320","6,37K","14,86M","0,43%"
"05/11/2025","2.325","2.320","2.325","2.320","4,34K","10,10M","0,00%"
"04/11/2025","2.325","2.320","2.325","2.320","11,63K","27,03M","0,00%"
"03/11/2025","2.325","2.325","2.380","2.380","4,92K","11,45M","-2,31%"
