Date,Clôture,Plus bas,Plus haut,Ouv,Volume Titres,Volume FCFA,Variation %
14/11/2025,30.840,30.840,30.840,30.840,"0,01K","0,19M","7,49%"
13/11/2025,28.690,26.700,28.690,26.700,"0,01K","0,34M","7,49%"
12/11/2025,26.690,26.690,26.690,26.690,"0,00K","0,03M","7,49%"
11/11/2025,24.830,24.830,24.830,24.830,"0,00K","0,02M","7,49%"
10/11/2025,23.100,23.020,23.100,23.020,"0,00K","0,09M","0,35%"
07/11/2025,23.020,23.020,23.020,23.020,"0,00K","0,00M","0,07%"
06/11/2025,23.005,23.005,23.005,23.005,"0,01K","0,16M","0,02%"
30/10/2025,23.000,23.000,23.000,23.000,"0,01K","0,23M","6,98%"
29/10/2025,21.500,21.500,21.500,21.500,"0,01K","0,24M","7,50%"
28/10/2025,20.000,20.000,20.000,20.000,"0,01K","0,30M","7,50%"
