Date,Cl�ture,Plus bas,Plus haut,Ouv.,Volume Titres,Volume FCFA,Variation %,a
01/12/2025,1700,25425,25600,1700,1.67K,42.62M,0,69%
28/11/2025,1690,1690,1690,1690,3.83K,6.48M,-0,29%
27/11/2025,1695,1585,1695,1585,4.56K,7.74M,7,28%
26/11/2025,1580,1550,1580,1550,9.75K,15.40M,4,98%
25/11/2025,1505,1485,1505,1485,7.56K,11.38M,2,03%
24/11/2025,1475,1475,1475,1475,4.32K,6.37M,-0,34%
21/11/2025,1480,1480,1500,1500,3.42K,5.06M,-2,31%
20/11/2025,1515,1515,1530,1530,5.82K,8.82M,0,00%
19/11/2025,1515,1515,1515,1515,1.75K,2.65M,0,00%
18/11/2025,1515,1515,1530,1530,3.12K,4.73M,-0,98%
