Date,Cl�ture,Plus bas,Plus haut,Ouv.,Volume Titres,Volume FCFA,Variation %,a
01/12/2025,16770,25425,25600,15600,1.67K,42.62M,0,69%
28/11/2025,15600,15500,15600,15500,1.04K,16.15M,0,65%
27/11/2025,15500,15500,16390,16390,1.77K,27.47M,0,00%
26/11/2025,15500,15500,15500,15500,1.62K,25.16M,-1,27%
25/11/2025,15700,15300,15700,15300,7.43K,116.70M,2,61%
24/11/2025,15300,15300,15300,15300,2.75K,42.09M,0,00%
21/11/2025,15300,15300,16020,16020,1.18K,18.07M,-4,38%
20/11/2025,16000,15800,16000,15800,0.79K,12.69M,0,63%
19/11/2025,15900,15600,15900,15600,1.84K,29.26M,0,00%
18/11/2025,15900,15500,15900,15500,0.54K,8.63M,0,00%
