Date,Cl�ture,Plus bas,Plus haut,Ouv.,Volume Titres,Volume FCFA,Variation %,a
01/12/2025,11530,25425,25600,11450,1.67K,42.62M,0,69%
28/11/2025,11450,11450,11500,11500,0.32K,3.63M,-0,43%
27/11/2025,11500,11500,11820,11820,0.91K,10.49M,-2,54%
26/11/2025,11800,11800,11820,11820,15.55K,183.48M,-0,17%
25/11/2025,11820,11530,11820,11530,0.65K,7.74M,2,52%
24/11/2025,11530,11530,11850,11850,0.22K,2.57M,-2,70%
21/11/2025,11850,11515,11850,11515,0.32K,3.84M,3,04%
20/11/2025,11500,11500,12380,12380,1.11K,12.74M,-7,33%
19/11/2025,12410,12410,12550,12550,0.15K,1.90M,-1,12%
18/11/2025,12550,12550,12600,12600,1.88K,23.63M,0,00%
