Date,Cl�ture,Plus bas,Plus haut,Ouv.,Volume Titres,Volume FCFA,Variation %,a
01/12/2025,15655,25425,25600,15095,1.67K,42.62M,0,69%
28/11/2025,14650,14510,14650,14510,2.10K,30.72M,-3,62%
27/11/2025,15200,15200,15280,15280,1.42K,21.58M,-0,52%
26/11/2025,15280,14525,15280,14525,5.30K,80.91M,4,30%
25/11/2025,14650,14650,14650,14650,0.22K,3.19M,0,69%
24/11/2025,14550,14550,14990,14990,1.16K,16.83M,-3,00%
21/11/2025,15000,14700,15000,14700,2.31K,34.64M,2,04%
20/11/2025,14700,14450,14700,14450,1.64K,24.09M,1,38%
19/11/2025,14500,14450,14500,14450,20.70K,300.18M,0,35%
18/11/2025,14450,14300,14450,14300,3.65K,52.77M,0,00%
