Date,Cl�ture,Plus bas,Plus haut,Ouv.,Volume Titres,Volume FCFA,Variation %,a
01/12/2025,27600,25425,25600,26515,1.67K,42.62M,0,69%
28/11/2025,26500,26500,27600,27600,3.63K,96.06M,0,38%
27/11/2025,26400,26250,26400,26250,3.31K,87.44M,0,72%
26/11/2025,26210,26210,26500,26500,22.70K,595.02M,-1,09%
25/11/2025,26500,26500,27645,27645,5.29K,140.16M,-4,16%
24/11/2025,27650,27095,27650,27095,0.66K,18.36M,4,34%
21/11/2025,26500,26500,27100,27100,7.10K,188.04M,0,00%
20/11/2025,26500,26500,26900,26900,6.47K,171.40M,0,00%
19/11/2025,26500,26500,27325,27325,20.01K,530.32M,-2,57%
18/11/2025,27200,27200,27300,27300,2.95K,80.29M,-0,37%
17/11/2025,27300,27000,27300,27000,0.62K,16.98M,1,11%
