Date,Cl�ture,Plus bas,Plus haut,Ouv.,Volume Titres,Volume FCFA,Variation %,a
01/12/2025,1550,25425,25600,1510,1.67K,42.62M,0,69%
28/11/2025,1520,1520,1530,1530,2.45K,3.73M,-1,62%
27/11/2025,1545,1535,1545,1535,4.81K,7.43M,0,98%
26/11/2025,1530,1505,1530,1505,9.61K,14.70M,1,32%
25/11/2025,1510,1510,1565,1565,12.82K,19.36M,-3,82%
24/11/2025,1570,1570,1620,1620,23.19K,36.40M,3,97%
21/11/2025,1510,1510,1510,1510,12.69K,19.17M,7,47%
20/11/2025,1405,1310,1405,1310,29.39K,41.29M,7,25%
19/11/2025,1310,1305,1310,1305,2.45K,3.21M,0,38%
18/11/2025,1305,1295,1305,1295,2.33K,3.04M,1,16%
