Date,Cl�ture,Plus bas,Plus haut,Ouv.,Volume Titres,Volume FCFA,Variation %,a
01/12/2025,5765,25425,25600,5770,1.67K,42.62M,0,69%
28/11/2025,5775,5750,5775,5750,2.97K,17.12M,0,43%
27/11/2025,5750,5740,5750,5740,5.36K,30.79M,0,17%
26/11/2025,5740,5740,5750,5750,1.98K,11.36M,0,00%
25/11/2025,5740,5555,5740,5555,2.49K,14.29M,3,42%
24/11/2025,5550,5550,5780,5780,4.56K,25.30M,-3,98%
21/11/2025,5780,5700,5780,5700,3.67K,21.22M,1,40%
20/11/2025,5700,5700,5700,5700,3.41K,19.41M,0,00%
19/11/2025,5700,5600,5700,5600,6.26K,35.66M,3,64%
18/11/2025,5500,5500,5600,5600,4.63K,25.47M,-3,51%
17/11/2025,5700,5620,5700,5620,6.19K,35.27M,1,42%
