Date,Cl�ture,Plus bas,Plus haut,Ouv.,Volume Titres,Volume FCFA,Variation %,a
01/12/2025,665,25425,25600,665,1.67K,42.62M,0,69%
28/11/2025,715,715,720,720,3.08K,2.20M,-0,69%
27/11/2025,720,700,720,700,5.60K,4.03M,3,60%
26/11/2025,695,695,700,700,2.95K,2.05M,-0,71%
25/11/2025,700,680,700,680,3.61K,2.52M,0,72%
24/11/2025,695,685,695,685,4.58K,3.18M,0,72%
21/11/2025,690,690,695,695,1.11K,0.76M,-0,72%
20/11/2025,695,695,700,700,0.68K,0.47M,-0,71%
19/11/2025,700,685,700,685,1.73K,1.21M,2,19%
18/11/2025,685,685,700,700,0.79K,0.54M,-2,14%
