Date,Cl�ture,Plus bas,Plus haut,Ouv.,Volume Titres,Volume FCFA,Variation %,a
01/12/2025,26000,25425,25600,25600,1.67K,42.62M,0,69%
28/11/2025,25600,25425,25600,25425,1.67K,42.62M,0,69%
27/11/2025,25425,25425,25450,25450,1.06K,27.00M,-0,68%
26/11/2025,25600,25500,25600,25500,21.64K,553.96M,0,79%
25/11/2025,25400,25300,25400,25300,11.63K,295.48M,0,99%
24/11/2025,25150,25000,25150,25000,13.48K,338.90M,0,20%
21/11/2025,25100,25100,25500,25500,2.25K,56.37M,-1,57%
20/11/2025,25500,25500,25500,25500,2.06K,52.56M,0,39%
19/11/2025,25400,25400,25500,25500,29.11K,739.42M,1,60%
18/11/2025,25000,25000,25100,25100,10.56K,264.05M,-1,96%
17/11/2025,25500,25000,25500,25000,3.32K,84.71M,0,00%
