Date,Cl�ture,Plus bas,Plus haut,Ouv.,Volume Titres,Volume FCFA,Variation %	
01/12/2025,2395,2305,2345,2350,1.21K,2.84M,
28/11/2025,2345,2305,2345,2305,1.21K,2.84M,
27/11/2025,2305,2305,2325,2325,1.38K,3.18M,
26/11/2025,2300,2300,2325,2325,2.13K,4.89M,
25/11/2025,2325,2325,2400,2400,2.00K,4.65M,
24/11/2025,2350,2250,2350,2250,9.36K,21.99M,
21/11/2025,2360,2355,2360,2355,2.60K,6.14M,.
20/11/2025,2365,2365,2370,2370,4.74K,11.21M,.
19/11/2025,2370,2350,2370,2350,2.53K,5.99M,.
18/11/2025,2350,2350,2380,2380,0.37K,0.88M,.
