Date,Cl�ture,Plus bas,Plus haut,Ouv.,Volume Titres,Volume FCFA,Variation %,a
01/12/2025,43400,40850,43400,43400,12,0.52M,0,01%
27/11/2025,43400,40850,43400,40850,12,0.52M,0,01%
26/11/2025,43395,43395,43495,43495,7,0.30M,-1,15%
25/11/2025,43900,40850,43900,40850,14,0.61M,7,47%
24/11/2025,40850,38000,40850,38000,13,0.53M,7,50%
21/11/2025,38000,38000,38295,38295,38,1.44M,-0,78%
20/11/2025,38300,38300,38305,38305,8,0.31M,-0,01%
19/11/2025,38305,38305,38305,38305,1,0.04M,7,49%
18/11/2025,35635,35635,35635,35635,5,0.18M,7,50%
17/11/2025,33150,32000,33150,32000,6,0.20M,7,49%
14/11/2025,30840,30840,30840,30840,6,0.19M,7,49%
