"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"17/10/2025","1.905","1.905","1.905","1.905","2,92K","-5,69%"
"16/10/2025","2.020","2.010","2.020","2.010","4,23K","1,00%"
"15/10/2025","2.000","2.130","2.130","2.000","12,22K","-5,66%"
"14/10/2025","2.120","2.000","2.120","2.000","12,70K","6,00%"
"13/10/2025","2.000","1.990","2.000","1.990","20,74K","0,76%"
"10/10/2025","1.985","1.950","1.985","1.950","12,75K","1,79%"
"09/10/2025","1.950","1.890","1.950","1.890","2,63K","3,17%"
"08/10/2025","1.890","1.890","1.890","1.890","2,00K","2,72%"
"07/10/2025","1.840","1.900","1.900","1.840","2,04K","-3,16%"
"06/10/2025","1.900","1.985","1.985","1.900","8,29K","-1,81%"
"03/10/2025","1.935","1.900","1.935","1.900","2,03K","7,50%"
