"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/08/2025","795","740","795","740","13,21K","7,43%"
"28/08/2025","740","690","740","690","18,58K","7,25%"
"27/08/2025","690","675","690","675","8,39K","2,22%"
"26/08/2025","675","660","675","660","1,73K","2,27%"
"25/08/2025","660","660","660","660","34,28K","0,00%"
"22/08/2025","660","665","665","660","13,48K","-0,75%"
"21/08/2025","665","680","680","665","9,12K","-2,21%"
"20/08/2025","680","675","680","675","5,74K","0,74%"
"19/08/2025","675","670","675","670","2,21K","0,75%"
"18/08/2025","670","675","675","670","1,27K","-0,74%"
"14/08/2025","675","660","675","660","0,15K","2,27%"
"13/08/2025","660","650","660","650","0,52K","1,54%"
"12/08/2025","650","635","650","635","1,76K","2,36%"
"11/08/2025","635","650","650","635","0,58K","-2,31%"
"08/08/2025","650","650","650","650","0,33K","0,00%"
"06/08/2025","650","650","650","650","0,59K","0,00%"
"05/08/2025","650","650","650","650","0,68K","0,00%"
"04/08/2025","650","655","655","650","1,85K","-0,76%"
"01/08/2025","655","660","660","655","2,39K","-0,76%"
