"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/08/2025","12.535","12.550","12.550","12.535","0,38K","-0,12%"
"28/08/2025","12.550","12.600","12.600","12.550","0,38K","-0,40%"
"27/08/2025","12.600","12.500","12.600","12.500","0,72K","0,80%"
"26/08/2025","12.500","12.500","12.500","12.500","2,30K","0,00%"
"25/08/2025","12.500","12.300","12.500","12.300","15,14K","1,63%"
"22/08/2025","12.300","12.300","12.300","12.300","0,65K","0,00%"
"21/08/2025","12.300","12.200","12.300","12.200","0,68K","0,82%"
"20/08/2025","12.200","12.275","12.275","12.200","1,65K","-0,61%"
"19/08/2025","12.275","12.200","12.275","12.200","4,47K","0,61%"
"18/08/2025","12.200","12.100","12.200","12.100","2,49K","0,83%"
"14/08/2025","12.100","12.190","12.190","12.100","1,76K","-0,74%"
"13/08/2025","12.190","12.600","12.600","12.190","0,33K","-3,25%"
"12/08/2025","12.600","12.475","12.600","12.475","6,46K","1,00%"
"11/08/2025","12.475","12.300","12.475","12.300","1,21K","1,42%"
"08/08/2025","12.300","12.200","12.300","12.200","2,77K","0,82%"
"06/08/2025","12.200","12.200","12.200","12.200","0,13K","0,00%"
"05/08/2025","12.200","12.150","12.200","12.150","0,64K","0,41%"
"04/08/2025","12.150","12.100","12.150","12.100","0,88K","0,41%"
"01/08/2025","12.100","12.005","12.100","12.005","0,15K","0,79%"
