"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"17/10/2025","27.005","27.000","27.005","27.000","1,22K","0,02%"
"16/10/2025","27.000","27.500","27.500","27.000","0,72K","-1,82%"
"15/10/2025","27.500","27.950","27.950","27.500","2,25K","2,23%"
"14/10/2025","26.900","27.995","27.995","26.900","0,81K","-3,91%"
"13/10/2025","27.995","27.500","27.995","27.500","0,57K","1,80%"
"10/10/2025","27.500","27.000","27.500","27.000","0,30K","1,85%"
"09/10/2025","27.000","27.000","27.000","27.000","0,79K","0,75%"
"08/10/2025","26.800","26.205","26.800","26.205","0,23K","1,90%"
"07/10/2025","26.300","26.500","26.500","26.300","4,14K","-0,75%"
"06/10/2025","26.500","27.600","27.600","26.500","0,25K","-1,85%"
"03/10/2025","27.000","27.600","27.600","27.000","1,61K","1,89%"
