"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/08/2025","4.975,00","4.885,00","4.975,00","4.885,00","6,35K","1,84%"
"28/08/2025","4.885,00","4.945,00","4.945,00","4.885,00","4,34K","-1,21%"
"27/08/2025","4.945,00","4.945,00","4.945,00","4.945,00","3,96K","0,00%"
"26/08/2025","4.945,00","4.850,00","4.945,00","4.850,00","3,97K","1,96%"
"25/08/2025","4.850,00","4.810,00","4.850,00","4.810,00","8,42K","0,83%"
"22/08/2025","4.810,00","4.810,00","4.810,00","4.810,00","4,72K","0,00%"
"21/08/2025","4.810,00","4.850,00","4.850,00","4.810,00","6,14K","-0,82%"
"20/08/2025","4.850,00","4.810,00","4.850,00","4.810,00","5,46K","0,83%"
"19/08/2025","4.810,00","4.790,00","4.810,00","4.790,00","9,35K","0,42%"
"18/08/2025","4.790,00","4.790,00","4.790,00","4.790,00","6,34K","0,00%"
"14/08/2025","4.790,00","4.800,00","4.800,00","4.790,00","7,77K","-0,21%"
"13/08/2025","4.800,00","4.790,00","4.800,00","4.790,00","3,87K","0,21%"
"12/08/2025","4.790,00","4.790,00","4.790,00","4.790,00","4,37K","0,00%"
"11/08/2025","4.790,00","4.795,00","4.795,00","4.790,00","8,99K","-0,10%"
"08/08/2025","4.795,00","4.795,00","4.795,00","4.795,00","8,23K","0,00%"
"06/08/2025","4.795,00","4.800,00","4.800,00","4.795,00","1,80K","-0,10%"
"05/08/2025","4.800,00","4.810,00","4.810,00","4.800,00","9,11K","-0,21%"
"04/08/2025","4.810,00","4.900,00","4.900,00","4.810,00","3,62K","-1,84%"
"01/08/2025","4.900,00","4.800,00","4.900,00","4.800,00","13,24K","2,08%"
