"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"17/10/2025","700","715","715","700","4,03K","1,45%"
"16/10/2025","690","720","720","690","10,47K","-3,50%"
"15/10/2025","715","700","715","700","15,73K","5,15%"
"14/10/2025","680","670","680","670","16,29K","3,82%"
"13/10/2025","655","675","675","655","6,38K","-2,24%"
"10/10/2025","670","675","675","670","2,30K","-0,74%"
"09/10/2025","675","665","675","665","3,27K","1,50%"
"08/10/2025","665","670","670","665","11,78K","-0,75%"
"07/10/2025","670","670","670","670","5,54K","0,75%"
"06/10/2025","665","650","665","650","12,63K","5,56%"
"03/10/2025","630","625","630","625","8,88K","0,00%"
