"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"24/10/2025","670","710","710","670","14,64K","-5,63%"
"23/10/2025","710","675","710","675","5,52K","4,41%"
"22/10/2025","680","710","710","680","32,31K","1,49%"
"21/10/2025","670","715","715","670","4,98K","-6,29%"
"20/10/2025","715","700","715","700","4,07K","2,14%"
"17/10/2025","700","700","715","715","4,03K","1,45%"
"16/10/2025","690","690","720","720","10,47K","-3,50%"
"15/10/2025","715","700","715","700","15,73K","5,15%"
"14/10/2025","680","670","680","670","16,29K","3,82%"
"13/10/2025","655","655","675","675","6,38K","-2,24%"
"10/10/2025","670","670","675","675","2,30K","-0,74%"
"09/10/2025","675","665","675","665","3,27K","1,50%"
"08/10/2025","665","665","670","670","11,78K","-0,75%"
"07/10/2025","670","670","670","670","5,54K","0,75%"
"06/10/2025","665","650","665","650","12,63K","5,56%"
"03/10/2025","630","625","630","625","8,88K","0,00%"
