"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"17/10/2025","2.270","2.270","2.270","2.270","17,62K","-7,35%"
"16/10/2025","2.450","2.445","2.450","2.445","26,36K","0,20%"
"15/10/2025","2.445","2.395","2.445","2.395","52,10K","5,16%"
"14/10/2025","2.325","2.500","2.500","2.325","119,26K","-7,00%"
"13/10/2025","2.500","2.485","2.500","2.485","4,40K","0,40%"
"10/10/2025","2.490","2.490","2.490","2.490","2,00K","0,00%"
"09/10/2025","2.490","2.480","2.490","2.480","4,33K","0,40%"
"08/10/2025","2.480","2.500","2.500","2.480","1,33K","1,22%"
"07/10/2025","2.450","2.500","2.500","2.450","14,05K","-2,00%"
"06/10/2025","2.500","2.445","2.500","2.445","21,65K","2,25%"
"03/10/2025","2.445","2.390","2.445","2.390","6,72K","0,82%"
