"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"01/08/2025","52.640","48.970","52.640","48.970","0,01K","7,49%"
"31/07/2025","48.970","45.555","48.970","45.555","0,01K","7,50%"
"30/07/2025","45.555","42.420","45.555","42.420","0,01K","7,39%"
"29/07/2025","42.420","39.465","42.420","39.465","0,01K","7,49%"
"28/07/2025","39.465","36.715","39.465","36.715","0,00K","7,49%"
"25/07/2025","36.715","34.155","36.715","34.155","0,01K","7,50%"
"24/07/2025","34.155","31.775","34.155","31.775","0,02K","7,49%"
"23/07/2025","31.775","29.560","31.775","29.560","0,05K","7,49%"
"22/07/2025","29.560","27.500","29.560","27.500","0,00K","7,49%"
"21/07/2025","27.500","25.585","27.500","25.585","0,01K","7,48%"
"18/07/2025","25.585","23.800","25.585","23.800","0,01K","7,50%"
"17/07/2025","23.800","22.145","23.800","22.145","0,01K","7,47%"
"16/07/2025","22.145","20.600","22.145","20.600","0,00K","7,50%"
"15/07/2025","20.600","20.415","20.600","20.415","0,01K","0,91%"
"14/07/2025","20.415","18.995","20.415","18.995","0,00K","7,48%"
"11/07/2025","18.995","18.995","18.995","18.995","0,02K","0,00%"
"10/07/2025","18.995","18.440","18.995","18.440","0,00K","3,01%"
"09/07/2025","18.440","18.440","18.440","18.440","0,01K","0,00%"
"03/07/2025","18.440","18.440","18.440","18.440","0,01K","0,00%"
"02/07/2025","18.440","18.180","18.440","18.180","0,01K","1,43%"
