"module";"topic";"question";"correct_answer";"options"
"🏦 Investissement & Bourse";"Introduction à la Bourse";"Qu'est-ce qu'une action ?";"B";"{""A"": ""Un prêt à l'État"", ""B"": ""Une part de propriété dans une entreprise"", ""C"": ""Une devise étrangère"", ""D"": ""Un produit bancaire""}"
"🏦 Investissement & Bourse";"Introduction à la Bourse";"Quel est le rôle principal de la Bourse ?";"C";"{""A"": ""Garantir les retraites"", ""B"": ""Vendre des biens immobiliers"", ""C"": ""Financer les entreprises"", ""D"": ""Protéger les consommateurs""}"
"🏦 Investissement & Bourse";"Introduction à la Bourse";"Quelle place boursière est située à Paris ?";"B";"{""A"": ""NYSE"", ""B"": ""Euronext"", ""C"": ""LSE"", ""D"": ""NASDAQ""}"
"🏦 Investissement & Bourse";"Introduction à la Bourse";"Que signifie le terme ""dividende"" ?";"C";"{""A"": ""Une taxe à payer sur les actions"", ""B"": ""Une perte enregistrée par l'entreprise"", ""C"": ""Une part des bénéfices redistribuée aux actionnaires"", ""D"": ""Le prix d’achat d’une action""}"
"🏦 Investissement & Bourse";"Introduction à la Bourse";"Si une action passe de 100 € à 110 €, quel est son rendement brut ?";"A";"{""A"": ""0,1"", ""B"": ""0,01"", ""C"": ""1,1"", ""D"": ""0,9""}"
"🏦 Investissement & Bourse";"Introduction à la Bourse";"Que mesure un indice boursier comme le CAC 40 ?";"B";"{""A"": ""La valeur moyenne des obligations"", ""B"": ""La performance de 40 grandes entreprises françaises"", ""C"": ""Le taux de change de l’euro"", ""D"": ""Le prix moyen des logements""}"
"🏦 Investissement & Bourse";"Introduction à la Bourse";"Que fait un courtier en Bourse ?";"C";"{""A"": ""Il dirige une entreprise"", ""B"": ""Il conseille les gouvernements"", ""C"": ""Il exécute les ordres d’achat/vente pour les investisseurs"", ""D"": ""Il crée des produits dérivés""}"
"🏦 Investissement & Bourse";"Introduction à la Bourse";"Comment appelle-t-on une période prolongée de hausse des marchés ?";"B";"{""A"": ""Bear market"", ""B"": ""Bull market"", ""C"": ""Krach"", ""D"": ""Correction""}"
"🏦 Investissement & Bourse";"Introduction à la Bourse";"Qu'est-ce qu'un IPO ?";"C";"{""A"": ""Un impôt sur la propriété"", ""B"": ""Une offre publique d'achat"", ""C"": ""Une introduction en Bourse"", ""D"": ""Un indice de prix""}"
"🏦 Investissement & Bourse";"Introduction à la Bourse";"Que signifie la capitalisation boursière ?";"B";"{""A"": ""Le chiffre d'affaires annuel"", ""B"": ""La valeur totale des actions d'une entreprise"", ""C"": ""Les bénéfices nets"", ""D"": ""Le montant des dividendes""}"
"🏦 Investissement & Bourse";"Introduction à la Bourse";"Quel type d'action donne droit à un dividende prioritaire ?";"C";"{""A"": ""Action ordinaire"", ""B"": ""Action gratuite"", ""C"": ""Action privilégiée"", ""D"": ""Action de fondateur""}"
"🏦 Investissement & Bourse";"Introduction à la Bourse";"Que signifie ""liquidité"" d'une action ?";"B";"{""A"": ""Son taux d’endettement"", ""B"": ""Sa facilité à être achetée ou vendue sans affecter le prix"", ""C"": ""Son dividende"", ""D"": ""Son volume d’émission""}"
"🏦 Investissement & Bourse";"Introduction à la Bourse";"Que veut dire PER ?";"C";"{""A"": ""Produit Économique Rentable"", ""B"": ""Prix d'Échange Régulé"", ""C"": ""Prix sur bénéfice par action"", ""D"": ""Plan Épargne Retraite""}"
"🏦 Investissement & Bourse";"Introduction à la Bourse";"Une action est cotée à 50 €, le bénéfice par action est de 5 €. Quel est le PER ?";"B";"{""A"": ""5"", ""B"": ""10"", ""C"": ""15"", ""D"": ""20""}"
"🏦 Investissement & Bourse";"Introduction à la Bourse";"Qu'est-ce qu'une correction de marché ?";"B";"{""A"": ""Une hausse de 10 % ou plus"", ""B"": ""Une baisse modérée du marché (5–10 %)"", ""C"": ""Une défaillance technique"", ""D"": ""Une chute brutale de 30 %""}"
