,Thème,Question,A,B,C,D,Bonne réponse
🏦 Investissement & Bourse,Introduction à la Bourse,Qu'est-ce qu'une action ?, Un prêt à l'État, Une part de propriété dans une entreprise, Une devise étrangère, Un produit bancaire,B
🏦 Investissement & Bourse,Introduction à la Bourse,Quel est le rôle principal de la Bourse ?, Garantir les retraites, Vendre des biens immobiliers, Financer les entreprises , Protéger les consommateurs,C
🏦 Investissement & Bourse,Introduction à la Bourse,Quelle place boursière est située à Paris ?, NYSE, Euronext , LSE, NASDAQ,B
🏦 Investissement & Bourse,Introduction à la Bourse,"Que signifie le terme ""dividende"" ?", Une taxe à payer sur les actions, Une perte enregistrée par l'entreprise, Une part des bénéfices redistribuée aux actionnaires , Le prix d’achat d’une action,C
🏦 Investissement & Bourse,Introduction à la Bourse,"Si une action passe de 100 € à 110 €, quel est son rendement brut ?","0,1","0,01","1,1","0,9",A
🏦 Investissement & Bourse,Introduction à la Bourse,Que mesure un indice boursier comme le CAC 40 ?, La valeur moyenne des obligations, La performance de 40 grandes entreprises françaises , Le taux de change de l’euro, Le prix moyen des logements,B
🏦 Investissement & Bourse,Introduction à la Bourse,Que fait un courtier en Bourse ?, Il dirige une entreprise, Il conseille les gouvernements, Il exécute les ordres d’achat/vente pour les investisseurs , Il crée des produits dérivés,C
🏦 Investissement & Bourse,Introduction à la Bourse,Comment appelle-t-on une période prolongée de hausse des marchés ?, Bear market, Bull market , Krach, Correction,B
🏦 Investissement & Bourse,Introduction à la Bourse,Qu'est-ce qu'un IPO ?, Un impôt sur la propriété, Une offre publique d'achat, Une introduction en Bourse , Un indice de prix,C
🏦 Investissement & Bourse,Introduction à la Bourse,Que signifie la capitalisation boursière ?, Le chiffre d'affaires annuel, La valeur totale des actions d'une entreprise , Les bénéfices nets, Le montant des dividendes,B
🏦 Investissement & Bourse,Introduction à la Bourse,Quel type d'action donne droit à un dividende prioritaire ?, Action ordinaire, Action gratuite, Action privilégiée , Action de fondateur,C
🏦 Investissement & Bourse,Introduction à la Bourse,"Que signifie ""liquidité"" d'une action ?", Son taux d’endettement, Sa facilité à être achetée ou vendue sans affecter le prix , Son dividende, Son volume d’émission,B
🏦 Investissement & Bourse,Introduction à la Bourse,Que veut dire PER ?, Produit Économique Rentable, Prix d'Échange Régulé, Prix sur bénéfice par action , Plan Épargne Retraite,C
🏦 Investissement & Bourse,Introduction à la Bourse,"Une action est cotée à 50 €, le bénéfice par action est de 5 €. Quel est le PER ?",5,10,15,20,B
